,ArtistId,Artist,Listeners,Scrobbles,Tag1,Tag2,Tag3,Tag4,Tag5
597,a16e47f5-aa54-47fe-87e4-bb8af91a9fdd,Ennio Morricone,1147573,26935117,Soundtrack,instrumental,Classical,composer,italian
598,35f866dc-c061-48ba-8157-cf2e0eac4857,Enrique Iglesias,1586680,29510375,pop,latin,spanish,dance,latin pop
599,4967c0a1-b9f3-465e-8440-4598fd9fc33c,Enya,1343873,52030528,new age,celtic,female vocalists,ambient,irish
600,195f9eff-9af2-43b6-87ea-bd1c0cffc254,Epic45,174749,2584272,post-rock,ambient,shoegaze,experimental,post rock
601,dd5b4384-84ae-4d04-a27c-4d79a74757a1,Epica,532972,39799202,symphonic metal,Gothic Metal,Female fronted metal,metal,female vocalists
602,1bdd1d2d-5974-46e7-8003-2e2ee3176653,Eppu Normaali,73713,5290892,seen live,finnish,rock,suomirock,punk
603,,Era Istrefi,109397,786546,pop,electronic,Albanian,Kosovo,alternative
604,b1640065-cc2f-4f92-ac4f-eb2d9f31d8da,Eraserheads,26719,1233064,OPM,Pinoy Rock,rock,alternative,eraserheads
605,43b58c98-3779-4b04-9a23-1c95cca3a145,Erasure,832615,12509797,80s,synthpop,new wave,pop,electronic
606,,Eric B. ,0,0,Hip-Hop,rap,old school rap,duos,old school hip-hop
607,07a8922d-680a-4637-a55e-88d7d1969a95,Eric Bellinger,83642,795174,rnb,soul,male vocalists,r&b,Hip-Hop
608,618b6900-0618-4f1e-b835-bccb17f84294,Eric Clapton,2462358,52630086,classic rock,blues,rock,blues rock,guitar
609,e1d521ea-5b97-4981-987c-ba988b2a87d7,Erik Satie,849246,18045151,Classical,piano,Impressionist,french,composers
610,779fce7e-c99e-4d0c-bfb1-af7aa1c34e80,Erkin Koray,81256,1068791,turkish,psychedelic,anatolian rock,Psychedelic Rock,turkish rock
611,321531fc-db73-4ffa-a959-61a61a2908c1,Erykah Badu,1082119,25080565,soul,Neo-Soul,female vocalists,rnb,jazz
612,cfa7c6b1-bbb3-4f9a-a636-cbfafb9b4bcf,Esbjörn Svensson Trio,354981,6893082,jazz,contemporary jazz,piano,swedish,instrumental
613,e22d2f66-881e-41ca-9356-544697ee5f90,Etta James,1123029,13477845,blues,jazz,soul,female vocalists,rhythm and blues
614,ccfe7a3c-1a45-4984-a8d0-644549cefe61,Europe,1093145,13050858,hard rock,rock,80s,classic rock,hair metal
615,b4d32cff-f19e-455f-86c4-f347d824ca61,Eurythmics,1534115,16334982,80s,new wave,pop,female vocalists,synth pop
616,6f2dfabb-f0bb-4801-a392-592489a148e7,Eva Cassidy,596998,8032585,female vocalists,jazz,blues,folk,singer-songwriter
617,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,Evanescence,2415886,105367268,rock,Gothic Rock,female vocalists,Gothic,alternative
618,9d1c39e9-7dc9-4546-9a80-161fdfe9e98d,Evelina,15700,526960,finnish,seen live,pop,female vocalists,electronic
619,ca39d50f-9885-420e-88d6-9c3f64038773,Everlast,572768,10094974,Hip-Hop,rock,blues,alternative,rap
620,58513fb9-39ac-4248-a6da-d597e35dcda4,Ewert and the Two Dragons,58950,1214979,seen live,indie,estonian,indie rock,folk
621,f2f9845c-6803-4451-a10e-9c6673608667,Exo,156865,36331408,k-pop,Korean,exo,Kpop,exo-k
622,4236acde-2ce2-441c-a3d4-38d55f1b5474,Explosions in the Sky,1211400,59739861,post-rock,instrumental,ambient,experimental,post rock
